participant,condition,engine,trial_index,audio_identifier,speaker,voice_type,window_width,window_height,person_side,robot_side,gaze_sample_count,gaze_duration_ms,person_dwell_ms,robot_dwell_ms,off_dwell_ms,total_observed_gaze_time_ms,person_gaze_pct,eyetracking_mos,gaze_sample_rate_hz,gaze_sample_rate_hz_strict,valid_dwell_pct,person_box_left,person_box_top,person_box_right,person_box_bottom,robot_box_left,robot_box_top,robot_box_right,robot_box_bottom
P15,A,new,70,04 segundos brrs-10-gt F-n-20db,brrs-10,natural,1907.0,872.0,left,right,134,4355.5,3201.099999997765,1154.4000000022352,0.0,4355.5,73.49558030071782,4,30.76569854207324,30.536103776833887,100.0,118.0,232.5,523.0,636.5,1384.0,232.0,1789.0,637.0
P15,A,new,90,05 segundos brpe-26-gt M-n-20db,brpe-26,natural,1907.0,872.0,left,right,160,5305.60000000149,3873.10000000149,1267.0,165.5,5305.60000000149,75.35067411140575,4,30.156815440281033,29.968335343779277,96.88065440289593,118.0,232.0,523.0,637.0,1384.0,232.0,1789.0,637.0
P15,A,new,112,07 segundos brba-23-gt F-n-20db,brba-23,natural,1907.0,872.0,left,right,232,7522.89999999851,5066.599999997765,2456.300000000745,0.0,7522.89999999851,67.34902763560288,4,30.839171064356293,30.706243602872,100.0,118.0,232.5,523.0,636.5,1384.0,232.0,1789.0,637.0
P15,A,new,66,04 segundos brpr-15-syntacc-295Ksteps F-n-20db,brpr-15,synthetic,1907.0,872.0,right,left,144,4734.10000000149,436.3999999985099,4297.70000000298,0.0,4734.10000000149,9.218225217007932,1,30.417608415528754,30.206375023754248,100.0,1384.0,232.5,1789.0,636.5,118.0,232.0,523.0,637.0
P15,A,new,75,04 segundos brsp-11-gt M-n-20db,brsp-11,natural,1907.0,872.0,left,right,140,4587.800000000745,4375.30000000447,212.4999999962747,0.0,4587.800000000745,95.3681503117782,5,30.515715593525712,30.297746196429102,100.0,118.0,232.0,523.0,637.0,1384.0,232.0,1789.0,637.0
P15,A,new,109,06 segundos brpr-24-syntacc-295Ksteps F-n-20db,brpr-24,synthetic,1907.0,872.0,right,left,197,6440.5,4187.39999999851,2253.10000000149,0.0,6440.5,65.01669125065615,4,30.587687291359366,30.432419843179876,100.0,1384.0,232.5,1789.0,636.5,118.0,232.0,523.0,637.0
P15,A,new,118,07 segundos brrs-23-gt F-n-20db,brrs-23,natural,1907.0,872.0,right,left,219,7156.300000000745,5670.60000000149,1485.699999999255,0.0,7156.300000000745,79.23927169069071,4,30.602406271394045,30.462669256456174,100.0,1384.0,232.5,1789.0,636.5,118.0,232.0,523.0,637.0
P15,A,new,74,04 segundos brsp-10-gt M-n-20db,brsp-10,natural,1907.0,872.0,left,right,148,4899.699999999255,1432.9000000022352,3234.89999999851,231.89999999850988,4899.699999999255,30.697544882000223,2,30.205930975370432,30.00183684715847,95.267057166795,118.0,232.0,523.0,637.0,1384.0,232.0,1789.0,637.0
P15,A,new,65,04 segundos brpr-14-syntacc-295Ksteps F-n-20db,brpr-14,synthetic,1907.0,872.0,right,left,128,4221.599999997765,1850.0999999977648,2371.5,0.0,4221.599999997765,43.82461625920846,3,30.32025772220669,30.083380708751953,100.0,1384.0,232.5,1789.0,636.5,118.0,232.0,523.0,637.0
P15,A,new,110,06 segundos brrs-20-gt F-n-20db,brrs-20,natural,1907.0,872.0,right,left,195,6470.60000000149,5854.000000003725,163.89999999850988,452.69999999925494,6470.60000000149,97.27645856530603,5,30.136308843067887,29.981763669513693,93.00373999321314,1384.0,232.5,1789.0,636.5,118.0,232.0,523.0,637.0
P15,A,new,102,05 segundos brsp-24-gt M-n-20db,brsp-24,natural,1907.0,872.0,right,left,160,5304.099999997765,3315.2999999970198,1657.3999999985099,331.4000000022352,5304.099999997765,66.67001829991756,4,30.16534379066523,29.97681039197357,93.75200316731632,1384.0,232.0,1789.0,637.0,118.0,232.0,523.0,637.0
P15,A,new,71,04 segundos brrs-14-gt F-n-20db,brrs-14,natural,1907.0,872.0,right,left,123,4013.599999997765,1728.5,634.5999999977648,1650.5,4013.599999997765,73.14544454325399,4,30.645804265514375,30.396651385306942,58.87731712176303,1384.0,232.5,1789.0,636.5,118.0,232.0,523.0,637.0
P15,A,new,98,05 segundos brrs-25-gt M-n-20db,brrs-25,natural,1907.0,872.0,right,left,173,5739.39999999851,4106.0999999940395,1086.4000000022352,546.9000000022352,5739.39999999851,79.07751564751055,4,30.142523608747418,29.968289368234426,90.47112938630558,1384.0,232.0,1789.0,637.0,118.0,232.0,523.0,637.0
P15,A,new,117,07 segundos brpr-29-syntacc-295Ksteps F-n-20db,brpr-29,synthetic,1907.0,872.0,left,right,220,7236.800000000745,1045.4000000022352,5926.099999997765,265.30000000074506,7236.800000000745,14.995338162550889,1,30.400176873753228,30.261994251599802,96.33401503425937,118.0,232.5,523.0,636.5,1384.0,232.0,1789.0,637.0
P15,A,new,125,09 segundos brrs-26-gt F-n-20db,brrs-26,natural,1907.0,872.0,left,right,277,9222.800000000745,7623.60000000149,1126.9999999962747,472.20000000298023,9222.800000000745,87.12088313948115,5,30.034262913646355,29.925835971719835,94.88007980219736,118.0,232.5,523.0,636.5,1384.0,232.0,1789.0,637.0
P15,A,new,87,05 segundos brmg-29-syntacc-295Ksteps M-n-20db,brmg-29,synthetic,1907.0,872.0,left,right,155,5135.900000002235,156.19999999925494,4979.70000000298,0.0,5135.900000002235,3.041336474604002,1,30.179715337123493,29.985007496238826,100.0,118.0,232.0,523.0,637.0,1384.0,232.0,1789.0,637.0
P15,A,new,104,06 segundos bral-26-gt M-n-20db,bral-26,natural,1907.0,872.0,left,right,194,6422.0,5138.60000000149,1283.3999999985099,0.0,6422.0,80.01557147308456,5,30.20865773902211,30.052943008408597,100.0,118.0,232.0,523.0,637.0,1384.0,232.0,1789.0,637.0
P15,A,new,116,07 segundos brpr-21-syntacc-295Ksteps F-n-20db,brpr-21,synthetic,1907.0,872.0,right,left,231,7650.099999997765,3673.89999999851,3976.199999999255,0.0,7650.099999997765,48.024208833866005,3,30.195683716561547,30.06496647103531,100.0,1384.0,232.5,1789.0,636.5,118.0,232.0,523.0,637.0
P15,A,new,82,05 segundos bral-24-syntacc-295Ksteps M-n-20db,bral-24,synthetic,1907.0,872.0,right,left,156,5157.199999999255,4108.9000000059605,611.3999999947846,436.8999999985099,5157.199999999255,87.04743342595411,5,30.248972310560482,30.055068641903045,91.5283487163854,1384.0,232.0,1789.0,637.0,118.0,232.0,523.0,637.0
P15,A,new,91,05 segundos brpe-29-gt M-n-20db,brpe-29,natural,1907.0,872.0,left,right,162,5351.0,3815.7999999970198,1168.7000000029802,366.5,5351.0,76.55331527730003,4,30.274715006540834,30.087834049710334,93.15081293216221,118.0,232.0,523.0,637.0,1384.0,232.0,1789.0,637.0
P15,A,new,67,04 segundos brpr-19-syntacc-295Ksteps F-n-20db,brpr-19,synthetic,1907.0,872.0,left,right,140,4649.599999997765,1445.9000000096858,2903.899999987334,299.80000000074506,4649.599999997765,33.24060876386676,2,30.110116999326245,29.895044735045342,93.55213351684255,118.0,232.5,523.0,636.5,1384.0,232.0,1789.0,637.0
P15,A,new,72,04 segundos brrs-16-gt F-n-20db,brrs-16,natural,1907.0,872.0,right,left,150,4964.0,4964.0,0.0,0.0,4964.0,100.0,5,30.21756647864625,30.016116035455276,100.0,1384.0,232.5,1789.0,636.5,118.0,232.0,523.0,637.0
P15,A,new,120,08 segundos brpr-25-syntacc-295Ksteps F-n-20db,brpr-25,synthetic,1907.0,872.0,left,right,256,8477.5,1091.4000000022352,7386.099999997765,0.0,8477.5,12.874078442963551,1,30.19758183426718,30.079622530227073,100.0,118.0,232.5,523.0,636.5,1384.0,232.0,1789.0,637.0
P15,A,new,114,07 segundos brgo-28-syntacc-295Ksteps M-n-20db,brgo-28,synthetic,1907.0,872.0,right,left,226,7493.199999999255,1792.2000000029802,5700.999999996275,0.0,7493.199999999255,23.917685368109197,2,30.160679015643847,30.02722468371622,100.0,1384.0,232.0,1789.0,637.0,118.0,232.0,523.0,637.0
P15,A,new,122,08 segundos brsp-27-syntacc-295Ksteps M-n-20db,brsp-27,synthetic,1907.0,872.0,left,right,260,8604.300000000745,2432.599999997765,6171.70000000298,0.0,8604.300000000745,28.271910556321306,2,30.217449414824856,30.10122845553707,100.0,118.0,232.0,523.0,637.0,1384.0,232.0,1789.0,637.0
P15,A,new,101,05 segundos brsp-22-gt M-n-20db,brsp-22,natural,1907.0,872.0,left,right,167,5522.300000000745,4592.89999999851,929.4000000022352,0.0,5522.300000000745,83.17005595490811,5,30.24102276225078,30.059938793614545,100.0,118.0,232.0,523.0,637.0,1384.0,232.0,1789.0,637.0
P15,A,new,80,05 segundos bral-22-gt M-n-20db,bral-22,natural,1907.0,872.0,right,left,176,5853.70000000298,5689.0,164.70000000298023,0.0,5853.70000000298,97.18639492965309,5,30.06645369593768,29.895621572665306,100.0,1384.0,232.0,1789.0,637.0,118.0,232.0,523.0,637.0
P15,A,new,115,07 segundos brpe-20-syntacc-295Ksteps M-n-20db,brpe-20,synthetic,1907.0,872.0,right,left,215,7139.900000002235,3058.0,4081.900000002235,0.0,7139.900000002235,42.82973150883125,3,30.112466561146892,29.972408577141557,100.0,1384.0,232.0,1789.0,637.0,118.0,232.0,523.0,637.0
P15,A,new,126,10 segundos brpb-28-syntacc-295Ksteps M-n-20db,brpb-28,synthetic,1907.0,872.0,right,left,305,10155.800000000745,9441.60000000149,714.1999999992549,0.0,10155.800000000745,92.96756533213333,5,30.032099883808034,29.933633982549644,100.0,1384.0,232.0,1789.0,637.0,118.0,232.0,523.0,637.0
